Screen Name,Text,Language,Tweet Type
Petitre,"RT @lorena3afrodita : Pero la culpable es Rusia

#OTANno #Rusia #Putin https://t.co/V9OtdgiOts",es,Retweet
stoshjd,"RT @drigli_ : #Novgorod region, Russia, the military enlistment office of the city of #Valdai is on #fire. #Kyiv #Ukraine️ #Bakhmut #Kyiv #Kherson #Kremlin #Putin #Wagner #Kiev #ArmUkraineNow #Prigozhin #Russia https://t.co/FFAfJXHFlm",en,Retweet
RaquelR07219627,"RT @cuba_bolivia : Así anda #Zelenski por toda Europa. El temor a #Putin hace maravillas.
#Russia. https://t.co/aCny4H3ofJ",es,Retweet
catiamonte,"RT @SalazarYulia : ZELENSKY Marzo 2014, prima che la CIA gli facesse visita 😏 

Condividete e salvatelo nei segnalibri 🔖 

#Zelensky #Ucraina #Russia #Putin #ZelenskyWarCriminal https://t.co/evpqyUf7iP",it,Retweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

#hollywoodreporter #sabah #csmonitor #express #kompas  #yomiuri #thehindu #thestar #thesun #theage
#GoogleNews #Google",en,Tweet
Dstubbs07912787,RT @drigli_ : #Prigozhin speech. He is furious about the lack of ammunition and accuses Russian military leadership in multiple deaths of his “volunteers.” Such type of communication can be a big sign of #Wagner losing in the battlefield.#Kyiv #Ukraine️ #Bakhmut #Kyiv #Kherson #Kremlin #Putin https://t.co/miM3knS5db,en,Retweet
AhmadAlinaghi,"#Prigozhin, the head of #Wagner, threatened to withdraw from the front lines of #Bakhmut on May 10 due to the lack of weapons and military equipment.

When #Putin leaves his mercenary alone, it means that #Russia's military situation is very bad.
#Ukraine https://t.co/CtfcoYoikn",en,Tweet
Johniky5,"RT @AnyaoraChukwu : All the evil committed against the Indigenous population around the world will always hunt the Windsor family 
When people are tired of a system! Revolution will follow one day ✊🏿✊🏿✊🏿 #FreeMaziNnamdiKanuNow #ThisIsNot1967 #Freedomforbiafra #mfa_russia #Putin https://t.co/KFKOkoWtKu",en,Retweet
LaydenRobinson,"Hail #Ukraine and keep on pushing forward. We love you and your wonderful people! Here is some #music to enjoy. багато любові, ""Everyone except #Putin""    https://t.co/67VclEOzOJ

#Kyiv #UkraineRussianWar #Zelensky #RT",und,Tweet
LaydenRobinson,"Hail #Ukraine and keep on pushing forward. We love you and your wonderful people! Here is some #music to enjoy. багато любові, ""Everyone except #Putin""    https://t.co/67VclEOzOJ

#Kyiv #UkraineRussianWar #Zelensky",und,Tweet
LudmilaVasilg,"On May 8, Moscow will host V #PUTIN talks with President of the Kyrgyz Republic Sadyr Japarov who will pay an official visit to Russia

https://t.co/TEeydhi778

 #nytimes #thetimes #latimes #elpais #lemonde #mirror #repubblica #cbs #smh #chon #hurriyet #chicagotribune #axs",en,Tweet
DigennalL,"RT @SalazarYulia : ZELENSKY Marzo 2014, prima che la CIA gli facesse visita 😏 

Condividete e salvatelo nei segnalibri 🔖 

#Zelensky #Ucraina #Russia #Putin #ZelenskyWarCriminal https://t.co/evpqyUf7iP",it,Retweet
MisterT_333,"RT @MisterT_333 : @HawleyMO #Missouri? Did #DonaldTrump, COMMIT #ESPIONAGE &amp; SELL #USA SECRETS 4 CA$H?

&amp; WHAT'S the #putin-puppet, #JoshHawley @HawleyMO #REPUBLICAN party'$, RESPONSE? #Crickets

FEB '19 Whistleblower rpt
abt #TRUMP'$ EFFORT to
TRAN$FER #Nuclear Tech to #SaudiArabia!
https://t.co/4xr90gvp6e",en,Retweet
