Screen Name,Text,Language,Tweet Type
RealPhatsBlog,"Press group: China biggest global jailer of journalists
#AsiaPacific #China #HongKong #Police #Beijing #SecurityLaw #Police #Extradition #CarrieLam #XiJinping #CivilRights #Politics #Democracy #COVID19 #Media
https://t.co/N1a1oJU6ev",en,Tweet
politica_tiempo,"#China y su imparable ascenso #Tecnologia #Ingenieria 
#XiJinping y su visión del #Desarrollo compartido para toda la #Humanidad https://t.co/AWU7Qte1dk",es,Tweet
licfer_lealm,"@MLopezSanMartin Pruebas pero en su contra. #XiJinping 
#mexico",es,Reply
ElBoboGaucho,"@Le_Figaro La nationale-socialiste #LePen trop molle
Le #raciste multirécidiviste #Zemmour très respectable
La #neofasciste Meloni trop laxiste
C'est quoi la prochaine sortie du shérif de la Macronie #Darmanin, #XiJinping  manque de fermeté  face aux #ouïghours ?
#honte",fr,Reply
JorRausch,"“… Otro tema que #Taiana abordó con la delegación de la compañía china es la posible cooperación en materia de producción de explosivos con fines civiles y militares, a lo que se suma provisión de telas especiales para uniformes”.

“El acercamiento al régimen de #XiJinping se… https://t.co/95m6xI3rb3 https://t.co/qRh4zCnOCF",es,Reply
thestranger515,"Xl Jinping’s Communist #China 🇨🇳 2023

A #CCP #Rapist in communist #china caught on camera while committing Rape. A Little Bit Of #Rape is OK 👌 In Communist China if Your in The #CCP 

#WhereIsPengShuai ?  

#XiJinping Where Is PENG SHUAI  ? 
 
https://t.co/c3JP7n6ao3",en,Tweet
RealPhatsBlog,"Experts: China Finds Threat in Latest Move By US-South Korea Alliance  
#AsiaPacific #Sanctions #KoreanPeninsula #SouthKorea #NorthKorea #China #Disarmament #Denuclearization #XiJinping #KimJongUn #Pyongyang #ICBMs #AUKUS #MissileTests
https://t.co/i6a2z3U8DT",en,Tweet
phoenixkit_here,@RIP_XiJinPing @Hoshikawa_ran 而且TOR和美国政府也没什么关系甚至因为版权问题这两者矛盾深刻,zh,Reply
OnceNoticiasTV,"🟢El presidente @lopezobrador_ informó que enviará otra carta a su homólogo de #China, #XiJinping, luego de que se detectara un cargamento con #fentanilo que arribó al puerto de #Michoacán, desde tierras asiáticas.

#ConferenciaPresidente   
#OnceNoticias
https://t.co/BOFgf6HOT2",es,Reply
RIP_XiJinPing,@realEmperorPooh 老中人骨子里的温良,zh,Reply
RIP_XiJinPing,@phoenixkit_here @Hoshikawa_ran 可能是量子纠缠（,zh,Reply
pierre22lara,"Fentanyl does come from #China
#XiJinping 
@globaltimesnews https://t.co/9Oz1hqzamk",en,Tweet
RIP_XiJinPing,@LIUKanshan123 @DinGzzz258 罢工又不是吃饱了出来遛弯，谁没事罢工,zh,Reply
ElBoboGaucho,"@BFMTV En #Russie insulter #Poutine = sanction
En #Chine insulter #XiJinping = sanction
En #France insulter #Macron = sanction 
En vrai ceux qui portent le #fascisme au pouvoir ce sont vous qui vous réjouissez de telles sanctions en France fussent-elles symboliques pour l'instant...",fr,Reply
pierre22lara,"El fentanilo SÍ LLEGA DE CHINA.
#XiJinping 
@globaltimesnews https://t.co/9Oz1hqzIbS",es,Tweet
IamOSFA,"#Belarus pushed all their chips in with #Putin n #XiJinping 

@BelarusMFA has ended up on the wrong side of history. Its time...the Belarus population needs to rise to the occasion...and destroy #Putin History will judge. Godspeed to #Belarus fight against dictators 
@wolfblitzer https://t.co/n8v4sdBxsU",en,Tweet
WarNews2k23,"OPINION: #China will make a military move on #Taiwan sometime between November 2024 and February 2025. 

#UnitedStates #WWIII #war #Russia #Ukraine️ #XiJinping #Military #SouthChinaSea #NATO https://t.co/atDU3Tc7lW",en,Tweet
mngxbtn339875,@EmmanuelMacron xijinping,eu,Reply
EGRegalado,"@LGlobalcitizen @UzmakiBlk @tinasheb9 @Kanthan2030 @CanadaFP @mfa_russia @RussianEmbassyC @llNQf7dLuT90CWw @Savard_Isa @khabel0n1 @ChinaEmbOttawa @ChineseEmbinRus @AmbZhengZeguang @IntlCrimCourt @UN Another issue Chris and I talked about that you may want to digest is how great China's rise was in such a short time.

There's a hope that President #XiJinping will guide 🇷🇺back to its border for sustained progress's sake.  

Time will tell.

https://t.co/6G0wADVnhn",en,Reply
IamOSFA,@RussiaUN @mfa_russia @MedvedevRussiaE @Dpol_un #XiJinping @MFA_China @ChinaAmbUN Morning Comrades! Another proud day 4 mental midget #Putin I imagine. And you wonder why the world despises dictators. 100% defeat of #Russia #Karma 4 #Nebenzya @USUN @UKRinUN #UkraineRussiaWar https://t.co/Bs7W5zf5Nl,en,Tweet
